latitude,longitude,index
-22,32,0.254
-22,33,0.341
-22,34,0.349
-22,35,0.435
-22,44,0.29
-22,45,0.278
-22,46,0.25
-22,47,0.258
-22,48,0.711
-22,116,0.14
-22,117,0.136
-22,118,0.172
-22,119,0.183
-22,120,0.183
-22,121,0.152
-22,122,0.156
-22,123,0.183
-22,124,0.148
-22,125,0.164
-22,126,0.18
-22,127,0.172
-22,128,0.156
-22,129,0.156
-22,130,0.152
-22,131,0.136
-22,132,0.18
-22,133,0.152
-22,134,0.215
-22,135,0.164
-22,136,0.223
-22,137,0.274
-22,138,0.172
-22,139,0.18
-22,140,0.235
-22,141,0.231
-22,142,0.199
-22,143,0.172
-22,144,0.144
-22,145,0.254
-22,146,0.329
-22,147,0.313
-22,148,0.29
-22,149,0.294
-22,166,0.707
-21,-70,0.101
-21,-69,0.077
-21,-68,0.014
-21,-67,0.117
-21,-66,0.172
-21,-65,0.345
-21,-64,0.51
-21,-63,0.64
-21,-62,0.487
-21,-61,0.38
-21,-60,0.42
-21,-59,0.455
-21,-58,0.475
-21,-57,0.447
-21,-56,0.451
-21,-55,0.628
-21,-54,0.593
-21,-53,0.435
-21,-52,0.396
-21,-51,0.435
-21,-50,0.479
-21,-49,0.349
-21,-48,0.502
-21,-47,0.404
-21,-46,0.491
-21,-45,0.435
-21,-44,0.735
-21,-43,0.542
-21,-42,0.451
-21,-41,0.644
-21,14,0.124
-21,15,0.117
-21,16,0.156
-21,17,0.183
-21,18,0.191
-21,19,0.195
-21,20,0.223
-21,21,0.219
-21,22,0.207
-21,23,0.254
-21,24,0.243
-21,25,0.25
-21,26,0.156
-21,27,0.29
-21,28,0.203
-21,29,0.337
-21,30,0.309
-21,31,0.266
-21,32,0.388
-21,33,0.376
-21,34,0.349
-21,35,0.388
-21,45,0.278
-21,46,0.187
-21,47,0.294
-21,48,0.766
-21,119,0.306
-21,120,0.219
-21,121,0.195
-21,122,0.203
-21,123,0.176
-21,124,0.172
-21,125,0.172
-21,126,0.195
-21,127,0.176
-21,128,0.152
-21,129,0.144
-21,130,0.152
-21,131,0.168
-21,132,0.183
-21,133,0.164
-21,134,0.168
-21,135,0.191
-21,136,0.176
-21,137,0.199
-21,138,0.136
-21,139,0.164
-21,140,0.258
-21,141,0.219
-21,142,0.156
-21,143,0.152
-21,144,0.246
-21,145,0.329
-21,146,0.404
-21,147,0.412
-21,148,0.353
